Valve 0;;Motor 0;Motor 1;Door 0;Door 1;Motor 0 top limit switch;Motor 0 bottom limit switch;Motor 1 top limit switch;Motor 1 bottom limit switch;Blocked
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;1;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;1;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;1;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;1;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
0;0;1;0;1;0;0;1;1;0;
